Población extranjera a 1 de enero. Por distritos. 2018
Barcelona
Institut d'Estadística de Catalunya
http://www.idescat.cat/poblacioestrangera/?b=10&lang=es&t=2018
Categoria,(1) Población,Población extranjera. Total,Población extranjera. % vert.,Población extranjera. % sobre (1)
Ciutat Vella,100714,45982,15.65,45.66
Eixample,264874,54461,18.54,20.56
Sants-Montjuïc,181303,36198,12.32,19.97
Les Corts,81755,9959,3.39,12.18
Sarrià-Sant Gervasi,149112,17960,6.11,12.04
Gràcia,121005,19976,6.80,16.51
Horta-Guinardó,169520,22369,7.61,13.20
Nou Barris,167868,28151,9.58,16.77
Sant Andreu,148232,18413,6.27,12.42
Sant Martí,235960,40318,13.72,17.09
Total,1620343,293787,100.00,18.13

