Población extranjera a 1 de enero. Por distritos. 2015
Barcelona
Institut d'Estadística de Catalunya
http://www.idescat.cat/poblacioestrangera/?b=10&lang=es&t=2015
Categoria,(1) Población,Población extranjera. Total,Población extranjera. % vert.,Población extranjera. % sobre (1)
Ciutat Vella,100115,42608,16.23,42.56
Eixample,263558,47885,18.24,18.17
Sants-Montjuïc,180757,33397,12.72,18.48
Les Corts,81530,8974,3.42,11.01
Sarrià-Sant Gervasi,146834,16418,6.26,11.18
Gràcia,120401,18055,6.88,15.00
Horta-Guinardó,166559,19178,7.31,11.51
Nou Barris,164648,24056,9.17,14.61
Sant Andreu,146494,16707,6.37,11.40
Sant Martí,233659,35181,13.40,15.06
Total,1604555,262459,100.00,16.36

