Población extranjera a 1 de enero. Por distritos. 2017
Barcelona
Institut d'Estadística de Catalunya
http://www.idescat.cat/poblacioestrangera/?b=10&lang=es&t=2017
Categoria,(1) Población,Población extranjera. Total,Población extranjera. % vert.,Población extranjera. % sobre (1)
Ciutat Vella,101387,45357,15.92,44.74
Eixample,266416,53393,18.74,20.04
Sants-Montjuïc,181910,35507,12.46,19.52
Les Corts,82033,9796,3.44,11.94
Sarrià-Sant Gervasi,149279,17792,6.24,11.92
Gràcia,121347,19574,6.87,16.13
Horta-Guinardó,168751,21015,7.38,12.45
Nou Barris,166579,26272,9.22,15.77
Sant Andreu,147594,17604,6.18,11.93
Sant Martí,235513,38597,13.55,16.39
Total,1620809,284907,100.00,17.58

